http://sp-app01/sites/dev,/sites/dev,f823f816-8106-4a11-a352-4f755894ba6c,9d634186-1c9a-11e3-a298-fc0fb1890234,"Accessibility and 508 compliance.docx",docx,31968,Microsoft+Office+Word+2013+(15.0.4535)+Windows+NT+6.2,Microsoft+Office/15.0+(Windows+NT+6.2;+Microsoft+Word+15.0.4517;+Pro)
http://sp-app01/sites/dev,/sites/dev,f823f816-8106-4a11-a352-4f755894ba6c,9dfc039e-1c9a-11e3-a298-fc0fb1890234,"Clustering.docx",docx,21724,Microsoft+Office+Word+2013+(15.0.4535)+Windows+NT+6.2,Microsoft+Office/15.0+(Windows+NT+6.2;+Microsoft+Word+15.0.4517;+Pro)
http://sp-app01/sites/dev,/sites/dev,f823f816-8106-4a11-a352-4f755894ba6c,9e94af2c-1c9a-11e3-a298-fc0fb1890234,"Admon PRD.docx",docx,13765,Microsoft+Office+Word+2013+(15.0.4535)+Windows+NT+6.2,Microsoft+Office/15.0+(Windows+NT+6.2;+Microsoft+Word+15.0.4517;+Pro)
http://sp-app01/sites/dev,/sites/dev,f823f816-8106-4a11-a352-4f755894ba6c,9f2d6514-1c9a-11e3-a298-fc0fb1890234,"Admon rework.docx",docx,23592,Microsoft+Office+Word+2013+(15.0.4535)+Windows+NT+6.2,Microsoft+Office/15.0+(Windows+NT+6.2;+Microsoft+Word+15.0.4517;+Pro)
http://sp-app01/sites/dev,/sites/dev,f823f816-8106-4a11-a352-4f755894ba6c,9fc63d7a-1c9a-11e3-a298-fc0fb1890234,"Application Framework ERD.docx",docx,30530,Microsoft+Office+Word+2013+(15.0.4535)+Windows+NT+6.2,Microsoft+Office/15.0+(Windows+NT+6.2;+Microsoft+Word+15.0.4517;+Pro)
http://sp-app01/sites/dev,/sites/dev,f823f816-8106-4a11-a352-4f755894ba6c,a05f2c88-1c9a-11e3-a298-fc0fb1890234,"Application Framework Integration ERD.docx",docx,16974,Microsoft+Office+Word+2013+(15.0.4535)+Windows+NT+6.2,Microsoft+Office/15.0+(Windows+NT+6.2;+Microsoft+Word+15.0.4517;+Pro)
http://sp-app01/sites/dev,/sites/dev,f823f816-8106-4a11-a352-4f755894ba6c,a0f7e9e6-1c9a-11e3-a298-fc0fb1890234,"Backbone Validation.docx",docx,17431,Microsoft+Office+Word+2013+(15.0.4535)+Windows+NT+6.2,Microsoft+Office/15.0+(Windows+NT+6.2;+Microsoft+Word+15.0.4517;+Pro)
http://sp-app01/sites/dev,/sites/dev,f823f816-8106-4a11-a352-4f755894ba6c,a190c1e8-1c9a-11e3-a298-fc0fb1890234,"Bootstrap and less.docx",docx,11815,Microsoft+Office+Word+2013+(15.0.4535)+Windows+NT+6.2,Microsoft+Office/15.0+(Windows+NT+6.2;+Microsoft+Word+15.0.4517;+Pro)
http://sp-app01/sites/dev,/sites/dev,f823f816-8106-4a11-a352-4f755894ba6c,a2297032-1c9a-11e3-a298-fc0fb1890234,"Browsers Supported in Bubbles.docx",docx,21204,Microsoft+Office+Word+2013+(15.0.4535)+Windows+NT+6.2,Microsoft+Office/15.0+(Windows+NT+6.2;+Microsoft+Word+15.0.4517;+Pro)
http://sp-app01/sites/dev,/sites/dev,f823f816-8106-4a11-a352-4f755894ba6c,a2c222d2-1c9a-11e3-a298-fc0fb1890234,"App Migration.docx",docx,11657,Microsoft+Office+Word+2013+(15.0.4535)+Windows+NT+6.2,Microsoft+Office/15.0+(Windows+NT+6.2;+Microsoft+Word+15.0.4517;+Pro)
